name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
SAN LEANDRO,2022-02-15,62.3,44.5,52.7,62.3,41.9,51.4
SAN LEANDRO,2022-02-16,72.4,49.5,60.4,72.4,45.9,60.1
SAN LEANDRO,2022-02-17,60.2,46.3,54.1,60.2,40.6,53.3
SAN LEANDRO,2022-02-18,63.8,47.2,54.3,63.8,47.2,54.3
SAN LEANDRO,2022-02-19,63.1,49.5,54.7,63.1,49.5,54.7
SAN LEANDRO,2022-02-20,57.6,47,51.6,57.6,41,49.7
SAN LEANDRO,2022-02-21,57.6,44.5,50.5,57.6,37.7,47.2
SAN LEANDRO,2022-02-22,59.1,47.7,51.8,59.1,41.7,49.5
MIDDLE RIVER,2022-02-15,35.5,19.2,27.2,31.9,14.3,23.9
MIDDLE RIVER,2022-02-16,49.5,26.3,37.4,44.8,20.3,32.7
MIDDLE RIVER,2022-02-17,60.9,36,48.4,60.9,32.5,46.5
MIDDLE RIVER,2022-02-18,61.2,30.6,45.2,61.2,25.1,39.8
MIDDLE RIVER,2022-02-19,42.7,24,32.1,33.8,11.9,23.2
MIDDLE RIVER,2022-02-20,40.9,23.1,30,34.6,12.9,22.5
MIDDLE RIVER,2022-02-21,52.2,30.8,40.3,52.2,24.6,37.4
MIDDLE RIVER,2022-02-22,50.1,40.9,46.1,50.1,38,42.7
GREENSBORO,2022-02-15,49.9,23,36.2,47.2,20.1,33.4
GREENSBORO,2022-02-16,62,27.9,45.9,62,22.6,43.7
GREENSBORO,2022-02-17,66.5,45.8,56.1,66.5,44.3,55.7
GREENSBORO,2022-02-18,64.7,35.7,52.9,64.7,30.8,51.7
GREENSBORO,2022-02-19,53,28.8,38.8,53,23.9,35.6
GREENSBORO,2022-02-20,48.8,26.1,35,45,22.7,31.3
GREENSBORO,2022-02-21,54.2,33.2,44.4,54.2,27.9,42.4
GREENSBORO,2022-02-22,55.8,51,52.7,55.8,51,52.7
CHARLOTTE,2022-02-15,54.1,32.1,41.9,54.1,27.3,38.7
CHARLOTTE,2022-02-16,64.5,32.8,49,64.5,29,47.4
CHARLOTTE,2022-02-17,67.9,49.2,58.9,67.9,47,58.8
CHARLOTTE,2022-02-18,64.8,44.1,59,64.8,40.3,58.3
CHARLOTTE,2022-02-19,56.7,35.3,43.8,56.7,29.6,41.2
CHARLOTTE,2022-02-20,51.5,29,38.5,51.5,24.6,35
