name,address,datetime,temp,feelslike,humidity,windspeed,solarradiation,stations
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-01-30,49.3,48.6,78.94,10.7,305.9,"72585093228,72493023230,KHWD,E4718,KOAK,72494023234"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-01-31,50,49.7,84.96,6.7,218.1,"72493023230,KHWD,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-01,52.1,51.3,44.36,16.4,279.5,"72493023230,D3560,KHWD,OKSC1,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-02,55.7,55.5,27.08,24.6,279.2,"KSFO,72493023230,D3560,KHWD,OKSC1,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-03,50,49.4,57.04,5.8,299.3,"KSFO,KHWD,D9358,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-04,50.7,50.3,62.92,8.6,293.7,"KSFO,KHWD,D9358,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-05,50.5,50.1,64.06,6,233.9,"KSFO,KHWD,D9358,OKSC1,E4718,KOAK"
SAN LEANDRO,"3051 Teagarden SAN LEANDRO,CA 94577",2022-02-06,51,50.6,66.9,8.7,287.4,"KSFO,KHWD,D9358,OKSC1,E4718,KOAK"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-01-30,24.6,18.7,47.41,13.6,277.8,"E1021,72405713701,99999913752,72406093721,KBWI,AU538,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-01-31,27.8,25.4,59.21,9.1,242.5,"E1021,E1762,72405713701,KBWI,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-01,29.5,27.8,74.36,8.8,327.3,"E1021,C1620,72405713701,72406093721,KBWI,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-02,33.4,32.7,83.49,4.8,298.1,"E1021,72405713701,72406093721,KBWI,AU538,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-03,41,40.3,95.82,14.9,52.9,"E1021,C1620,KBWI,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-04,42.7,38.7,91.39,15.9,35.9,"E1021,KBWI,AU538,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-05,30.6,22.3,55.61,22.8,367.9,"E1021,KBWI,AU538,KAPG,KMTN"
MIDDLE RIVER,"9601 Pulaski Park Drive Suite 410 412 MIDDLE RIVER,MD 21220",2022-02-06,27.9,26.4,59.62,6.9,365.9,"E1021,E1762,KBWI,KAPG,KMTN"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-01-30,26.6,21.1,45.81,11.4,150.4,"72317013723,72317493783,KINT,72319393807,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-01-31,33.8,29.3,47.33,8.1,266.4,"72317013723,KINT,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-01,36.2,31.9,60.92,9.1,297.8,"72317013723,KINT,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-02,40.1,39,60.28,5.6,267.8,"72317013723,KINT,KBUY,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-03,46.4,45,91.7,16.2,70.3,"KINT,KBUY,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-04,58.8,58.4,84.07,19.9,43.4,"KINT,KBUY,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-05,34.5,28.3,47.86,12.8,324.7,"KINT,KBUY,KGSO,0783W,LXFN7"
GREENSBORO,"3408 J West Wendover Avenue GREENSBORO,NC 27407",2022-02-06,30.6,24.8,50.37,9.8,328.4,"KINT,KBUY,KGSO,0783W,LXFN7"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-01-30,34.5,30.4,42.15,14.7,256.4,"KAKH,72314753870,KCLT,72314013881,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-01-31,41.4,39.4,51.51,8.9,245.7,"KAKH,KCLT,72314013881,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-01,40.6,36.2,56.78,10.1,265.3,"KAKH,KCLT,72314013881,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-02,43.4,41.2,58.56,7.6,167.1,"KAKH,KCLT,72314013881,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-03,48.7,47,88.64,15.8,56.3,"KAKH,KCLT,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-04,61,60.9,85.45,18.3,36.7,"KAKH,KCLT,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-05,39.4,33.7,47.5,13.6,280.7,"KAKH,KCLT,KJQF,E7342"
CHARLOTTE,"2500 Distribution Street Suite 100 CHARLOTTE,NC 28203",2022-02-06,35.4,29.8,43.83,11.2,223.9,"KAKH,KCLT,KJQF,E7342,D7787"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-01-30,41,36.6,37.01,12.5,348.6,"72327013897,0679W,KJWN,KBNA,KMQY,72327313827,F0622"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-01-31,39.9,38,49.16,7.9,192.5,"72327013897,0679W,KJWN,KBNA,KMQY,F0622"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-01,50.1,49.5,39.95,16.2,360.1,"72327013897,0679W,E9547,KJWN,KBNA,KMQY"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-02,49.7,47.8,81.2,13.6,37.9,"72327013897,0679W,E9547,KJWN,KBNA,KMQY,AV736"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-03,38.5,32.5,87.61,13.4,13.1,"0679W,E9547,KJWN,KBNA,KMQY,KM91,AV736"
NASHVILLE,"3078 Sidco Drive NASHVILLE,TN 37204",2022-02-04,28.5,19.8,79.43,12.5,83.2,"0679W,KJWN,KBNA,KMQY,KM91"
