period,address,_LATITUDE_,_LONGITUDE_,resolvedAddress,mint,maxt,temp,precip,precipcover,snowdepth,wspd,wgust,wdir,visibility,sealevelpressure,weathertype,mint_max,mint_min,mint_mean,mint_p10,mint_p25,mint_p50,mint_p75,mint_p90,maxt_max,maxt_min,maxt_mean,maxt_p10,maxt_p25,maxt_p50,maxt_p75,maxt_p90,temp_max,temp_min,temp_mean,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,precip_max,precip_min,precip_mean,precip_p10,precip_p25,precip_p50,precip_p75,precip_p90,precipcover_max,precipcover_min,precipcover_mean,precipcover_p10,precipcover_p25,precipcover_p50,precipcover_p75,precipcover_p90
"Week 2 (Jan)","Herndon,VA",38.96972,-77.38519,"",9.4,75.5,33.7,23.4,1.74,0,19.7,,229.64,12.6,1023.3,"Light Snow, Light Drizzle, Thunderstorm, Duststorm, Fog, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",39.7,9.4,24.5,13.6,18.6,23.2,32.3,33.6,61.2,21.7,37.8,24.4,30.8,37.7,44,47.6,46.6,20,31,20.9,22.3,30.6,38.5,40.2,,,,,,,,,,,,,,,,
"Week 2 (Jan)","Herndon,VA",38.96972,-77.38519,"",7.8,61.7,27.2,74.5,2.88,0,34.7,,246.71,13.9,1023.4,"Snow Showers, Drizzle, Light Snow, Light Drizzle, Fog, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",32.1,7.8,17.7,9,12.5,17,22.2,28,61.7,19.7,37.1,26.4,33.4,36.9,40.4,43.8,40.3,13.7,27.1,20.4,22.7,26.5,31.7,35.4,,,,,,,,,,,,,,,,
"Week 3 (Jan)","Herndon,VA",38.96972,-77.38519,"",3.8,62.4,33.4,124.9,3.76,3.1,30,,229.69,12.3,1019.5,"Snow Showers, Blowing Or Drifting Snow, Heavy Snow, Drizzle, Light Snow, Light Drizzle, Duststorm, Fog, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",43.2,3.8,23,8,16.6,23.8,29,36.3,62.4,11.9,43.5,24,35.1,43.1,54.6,59.9,48.1,9.4,33.3,18.7,27,35.7,41.2,44.2,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 4 (Jan)","Herndon,VA",38.96972,-77.38519,"",-3.9,62.9,32,142.2,3.08,9.1,30,,227.77,11.8,1018.1,"Snow Showers, Blowing Or Drifting Snow, Heavy Snow, Drizzle, Light Snow, Light Drizzle, Duststorm, Fog, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",38.5,-3.9,21.6,6.2,15.2,21.8,29.3,35.2,62.9,15.2,40.9,21.8,31.5,42.7,49.2,56.1,45,5.8,31.7,15.4,24,35.2,41.2,43,,,,,,,,,,,,,,,,
"Week 5 (Jan)","Herndon,VA",38.96972,-77.38519,"",-3.9,62.9,33.9,115.4,4.31,9.1,27,,204.47,10.9,1020.6,"Snow Showers, Drizzle, Light Snow, Light Drizzle, Duststorm, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",38.5,-3.9,25.2,12.8,19.1,28.6,32.2,35,62.8,19.1,42.8,30.8,37,42.7,48.4,55.6,49.7,9.9,34.1,20.8,27.8,35.1,40.8,43.2,,,,,,,,,,,,,,,,
"Week 6 (Feb)","Herndon,VA",38.96972,-77.38519,"",2,62.8,31.6,169.8,5.41,3.9,41.4,,219.87,12.3,1022.9,"Snow Showers, Drizzle, Light Snow, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",38,2,22.7,8.5,17.5,23.2,29.1,32.9,55.6,17,38.5,28.9,32.7,38,43.8,48.6,43.2,10.8,30.8,21,25.4,31.6,38.1,39.7,7.7,0.3,4,0.3,0.6,4,7.5,7.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 7 (Feb)","Herndon,VA",38.96972,-77.38519,"",2,68.1,30.9,413.2,5.4,0,41.4,,245.38,13.4,1021.6,"Snow Showers, Light Snow, Light Drizzle, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",38,2,21,8,11.7,23.2,29.8,32.4,68.1,23.1,42.1,29.8,35.5,42.1,48.7,52.5,51.5,12.5,30.9,20.7,24.2,30.2,38.1,40.3,7.7,0.8,5.9,0.8,2.5,7.7,7.7,7.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
"Week 8 (Feb)","Herndon,VA",38.96972,-77.38519,"",5.3,74,35.6,13.6,0.73,0,31.1,,222.01,11.8,1022.1,"Snow Showers, Light Snow, Light Drizzle, Fog, Heavy Freezing Rain, Light Freezing Rain, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",49.3,5.3,25.8,12.8,23.4,25.5,30.2,35.8,74,26.1,46.8,36.3,40.7,47.5,51.7,56.7,54.5,16.2,35.7,28.6,31.6,35.6,38.8,44,,,,,,,,,,,,,,,,
"Week 9 (Feb)","Herndon,VA",38.96972,-77.38519,"",11,74,41.9,1049.6,2.68,0,31.1,,181.97,8.5,1023.3,"Snow Showers, Light Snow, Light Drizzle, Fog, Heavy Freezing Rain, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Heavy Rain, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze, Snow",49.3,11,32.4,21.3,26.9,31.1,40.7,42.5,74,35,51.7,42.9,46.9,50.7,57,62.8,54.5,26.3,41.9,35.2,37.4,41.5,46.8,48.6,,,,,,,,,,,,,,,,
"Week 10 (Mar)","Herndon,VA",38.96972,-77.38519,"",12.8,79.1,46.1,538.8,2.93,0,27.6,,177.71,7,1021.3,"Snow Showers, Drizzle, Light Snow, Light Drizzle, Thunderstorm, Fog, Light Freezing Rain, Ice, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",54.9,12.8,37.1,27.8,33.1,38,42.4,43.6,79.1,42.1,55.8,45.7,49.2,54.6,63.5,65.7,61.6,30.3,46.2,38,41.1,46.8,50.8,53.3,,,,,,,,,,,,,,,,
